Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,Salinity,Time,QC,QR,QC,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.13 ,-2.47 ,0.05,0.1,0.15,0.15,0.25,0.25,0.3,0.2,,0,0.5,0.05,0.25,1,5,,,,-15,0.06 ,0.07 ,0.06 ,0.06 ,0.03 ,0.03 ,0.03 ,0.02 ,,,,,,,,,,,,,,,,
5,0,0.57 ,1.08 ,0.7,0.6,0.6,0.7,0.05,0,0.1,0.05,,5,0.5,0.7,0.05,14,1,,,,-10,0.08 ,0.07 ,0.10 ,0.08 ,0.06 ,0.07 ,0.05 ,0.08 ,,,,,,,,,,,,,,,,
5,0,0.23 ,2.31 ,0.45,0.6,0.55,0.65,0.15,0.15,0.2,0.05,,5,0.5,0.45,0.15,9,3,,,,-5,0.05 ,0.07 ,0.07 ,0.04 ,0.03 ,0.02 ,0.04 ,0.05 ,,,,,,,,,,,,,,,,
5,0,0.57 ,-14.40 ,0.3,0.4,0.4,0.4,0.15,0.05,0.05,0.05,,5,0.5,0.3,0.15,6,3,,,,0,0.03 ,0.02 ,0.06 ,0.04 ,0.03 ,0.02 ,0.03 ,0.02 ,,,,,,,,,,,,,,,,
5,0,-0.10 ,0.91 ,0.25,0.3,0.2,0.25,0.05,0.05,0.05,0.1,,5,0.5,0.25,0.05,5,1,,,,5,0.07 ,0.06 ,0.06 ,0.07 ,0.03 ,0.02 ,0.02 ,0.02 ,,,,,,,,,,,,,,,,
5,0,0.10 ,-1.41 ,0.15,0.25,0.3,0.25,0.25,0,0.05,0.1,,5,0.5,0.15,0.25,3,5,,,,10,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.02 ,0.03 ,0.02 ,,,,,,,,,,,,,,,,
5,0,0.80 ,0.17 ,0.3,0.35,0.4,0.5,0.1,0.1,0.1,0.2,,5,0.5,0.3,0.1,6,2,,,,15,0.06 ,0.08 ,0.08 ,0.06 ,0.02 ,0.03 ,0.03 ,0.03 ,,,,,,,,,,,,,,,,
10,0,0.53 ,1.72 ,0.3,0.35,0.55,0.5,0.1,0.05,0.1,0.15,,10,0.5,0.3,0.1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0.23 ,4.21 ,0.2,0.3,0.55,0.55,0,0.1,0,0.05,,10,0.5,0.2,0,4,0,,,,,E-0.5h,,,E-1h,,,E-1.5h,,,E-2h,,,I-0.5h,,,I-1h,,,I-1.5h,,,I-2h,,
10,0,0.10 ,2.79 ,0.4,0.45,0.5,0.5,0.05,0.1,0.15,0.15,,10,0.5,0.4,0.05,8,1,,,,,ave,std,se,ave,std,se,ave,std,se,ave,std,se,ave,std,se,ave,std,se,ave,std,se,ave,std,se
